;UT;precision;pressure;duration;acceleration;rotation;magneticField
280;UT5;71.85506412083978;0.21568629;85000;6.407977745539948;0.1502780191841634;51.60153825226531
281;UT5;39.24089389246884;0.15686275;86000;7.61417931350082;0.44525577484121637;52.92823856411623
282;UT5;37.52460014071298;0.20784315;78000;8.223351913057058;0.426846657166676;51.675973624112785
283;UT5;89.86510196533465;0.17254902;88000;6.619690232097379;0.03888526930460399;53.1734338039213
284;UT5;34.473910449062764;0.20000002;48000;8.606910365363404;0.44698347321642;51.932949559985516
285;UT5;24.648858783513656;0.21176472;86000;7.838073370538089;0.4139903957097763;44.08346132621621
286;UT5;64.18717110528867;0.24313727;78000;7.5121402345330495;0.11061102494742803;44.254722558728126
287;UT5;55.3614384614562;0.18431373;104000;7.8899103148281835;0.3362645491459967;43.81428313061849
288;UT5;75.1402407316479;0.18039216;120000;7.707835866862783;0.031921776188808516;44.16260791099185
289;UT5;54.259247493801446;0.14117648;110000;8.07143664989787;0.17244386230059935;45.02377843984221
290;UT5;29.54070239929312;0.18823531;89000;7.690034059361545;0.08108837972889359;44.04330255555321
291;UT5;100.62211472673589;0.19607845;84000;7.458764048095653;0.14269895935376076;44.485645507848936
292;UT5;12.343366964082366;0.1764706;81000;7.550437617247204;0.061001799210099225;44.81337167910935
293;UT5;102.04253726471916;0.14901961;82000;7.650234060185757;0.09651985807149217;44.118669871722105
294;UT5;21.53863042628282;0.16862746;92000;7.5725666588479585;0.07848866922522046;44.66004401307728
295;UT5;68.11826861263064;0.20392159;71000;7.732248904646798;0.07456357185725151;44.15146161227282
296;UT5;60.176188918953684;0.16862746;92000;7.5848574505895785;0.10561529760832006;44.43508256434323
297;UT5;65.75200287481441;0.20000002;70000;7.600666733799009;0.053157965539069534;44.26928428662474
298;UT5;39.402684461961485;0.20000002;85000;7.602877222199886;0.23295426725540894;44.40232433386793
299;UT5;21.00163665421337;0.18431373;62000;7.536130364960654;0.07343004169264974;44.11641205379241
300;UT5;68.2774573545326;0.227451;76000;7.072479012018139;0.22320627323941603;46.05537597555794
301;UT5;67.6116737146774;0.19215688;98000;7.700311759626781;0.3290959695106524;46.2505489832283
302;UT5;80.66088705640668;0.16470589;81000;8.079611786845133;0.12475055195647203;46.18415921612085
303;UT5;82.70816978660572;0.15294118;110000;7.633533379059267;0.11677235139823681;46.03471855567274
304;UT5;93.92545544387846;0.15686275;62000;7.39429121746122;0.0707972801073133;46.28942576334254
305;UT5;31.07193658148139;0.17254902;124000;7.513090975093794;0.10254969845263039;46.04799635977661
306;UT5;16.337535919681923;0.21960786;88000;8.595379502149905;0.30044477881512655;46.24649479960616
307;UT5;26.303624108848602;0.16862746;118000;7.416955038337181;0.0725917016313273;46.41208927908762
308;UT5;57.61920658015345;0.1764706;108000;8.348366986201524;0.038297845225609826;46.137066511103626
309;UT5;28.75776355090917;0.10980393;95000;7.542224560192224;0.08178431076333934;45.95267606462109
310;UT5;23.256387305976784;0.18823531;105000;8.475158697047098;0.3297686220985936;46.110812519950244
311;UT5;54.56871297089575;0.09019608;68000;7.783706739275435;0.128267233102285;46.563968097661096
312;UT5;43.0323382854616;0.18039216;114000;7.544694214385562;0.30044476429416545;46.18331340971542
313;UT5;50.21787702213226;0.09411766;86000;7.523305966357742;0.10719188703338016;46.57889811921274
314;UT5;53.91889085617768;0.14901961;134000;7.469377881704139;0.3079216106149444;46.18428608574566
315;UT5;42.92848481933181;0.17254902;79000;7.9597624937709295;0.10175077306431178;42.618813700641645
316;UT5;69.73474324846975;0.2509804;101000;7.928319714244919;0.46469295418552425;42.04173893287479
317;UT5;102.6175320288887;0.20784315;95000;7.90344549857815;0.18456575166417966;42.5455638110485
318;UT5;71.21745254170501;0.13725491;120000;6.686035143722824;0.2173270257814209;41.950258863921206
319;UT5;101.52285120445738;0.20392159;94000;7.365588986402921;0.15987496703511067;42.46694486597782
320;UT5;44.05064299417205;0.20000002;131000;7.339022170067649;0.2717801548208857;42.04285388148621
321;UT5;97.21760708354226;0.20392159;88000;6.9868806037154005;0.18521252369134444;42.297172260684285
322;UT5;40.16542750759165;0.16470589;118000;8.00892327151678;0.07490482644997758;42.29038380648726
323;UT5;82.550980319531;0.15686275;89000;6.756934004352538;0.14890275213397278;42.93076730329892
324;UT5;44.450488317340266;0.13725491;117000;7.290638936037098;0.05684677316341717;41.96510827461309
325;UT5;71.56780690497365;0.21176472;98000;7.462132551425131;0.23245012090147577;42.454295277392134
326;UT5;60.165019531451996;0.17254902;105000;8.227653498054114;0.1668005874507396;42.154246153264324
327;UT5;78.04728084552913;0.24705884;79000;8.846751205996682;0.14923731465162152;41.88456047578869
328;UT5;62.4551685906779;0.19215688;138000;8.472820555498625;0.24872530836537857;42.1436346023928
329;UT5;80.55687532179732;0.21960786;121000;8.227250832503815;0.3443203273582346;42.23511202187109
330;UT5;43.6346172211926;0.22352943;104000;7.14587177956031;0.15167444873888328;38.081224868693496
331;UT5;97.71973926554246;0.18823531;144000;7.864171142118888;0.12572349986139697;38.14231164337054
332;UT5;110.9361644733421;0.22352943;105000;6.977932845943442;0.08453756584281401;37.7647425683004
333;UT5;65.14602160454619;0.21568629;97000;7.93535973379373;0.15322097208382573;38.44806765300436
334;UT5;68.11230746825422;0.20392159;115000;7.511364202204534;0.12815230182467552;37.984063270008384
335;UT5;38.18289827160838;0.18039216;121000;7.952588775679878;0.025947792453215823;38.378715211038525
336;UT5;115.22311710460232;0.227451;78000;7.659744546443152;0.13376099698597793;38.15086212983922
337;UT5;27.993572951661527;0.20784315;117000;8.027424319425581;0.03383513318564913;38.11096052974787
338;UT5;65.07509020393287;0.2392157;76000;8.098132674792424;0.3444815877462707;37.825927368010426
339;UT5;12.139785464434624;0.18823531;137000;8.08803724445763;0.24779847893796023;38.18565871174675
340;UT5;120.21720100883067;0.227451;81000;7.916414090781806;0.17643997682270904;37.76246689836351
341;UT5;21.483909972349032;0.21960786;111000;7.6923337223366675;0.1537305730929277;38.1054253027046
342;UT5;83.97330191465618;0.23529413;72000;7.9608292993071785;0.2701025691644218;37.56151205023568
343;UT5;67.97001076616434;0.20784315;117000;7.607708531502447;0.03361667743341207;37.93647033199056
344;UT5;24.260175693090137;0.227451;88000;7.995424194490981;0.40808915013474784;37.69382202364202
345;UT5;30.53116447566324;0.23137257;64000;6.326280297342341;0.3154565909469066;52.14346944968277
346;UT5;70.17864204914838;0.25882354;61000;7.951390075908802;0.19369916223953398;52.059198574795595
347;UT5;53.09535436996728;0.18823531;63000;6.582069314364533;0.4279128205528835;51.93618379800349
348;UT5;56.52990840227847;0.2509804;70000;7.152367480815038;0.3758986502015769;52.79193386541167
349;UT5;25.399214840691503;0.20784315;66000;7.125683735869924;0.329145898996729;52.306413923150956
350;UT5;23.406698818927932;0.24705884;72000;7.175563598712019;0.23819168685973457;52.35135205990386
351;UT5;79.53905740385729;0.21960786;48000;7.502870024007622;0.17378937247911166;51.73995977482008
352;UT5;19.215620803138236;0.21960786;69000;7.04216706343503;0.06026337611257525;51.80024734496931
353;UT5;28.23552864418162;0.22352943;48000;7.743911659991734;0.20156795412431197;52.138674764995706
354;UT5;11.439453826717413;0.24313727;82000;6.832202621654759;0.4982725129822032;51.60146255194711
355;UT5;32.90720541542384;0.21176472;44000;7.635273983148324;0.28677274331259484;51.51251364959781
356;UT5;21.957044560914856;0.227451;70000;7.021379514355242;0.5381712642238174;51.16303597324928
357;UT5;34.4611211483318;0.20784315;55000;8.508081882669389;0.5298721193155779;52.17791828206641
358;UT5;66.97770992237342;0.22352943;64000;6.32975270865605;0.13435285875447495;51.8435898882398
359;UT5;66.32258528080763;0.21960786;50000;8.587768218793169;0.293390030582367;52.032667022746395
360;UT6;19.171968882981215;0.15294118;51000;7.341683342487024;0.38356549315224875;37.658622850550444
361;UT6;7.858208178713611;0.10196079;23000;7.749375276522192;0.06293158045034236;35.971831427521174
362;UT6;22.34401470955693;0.043137256;23000;7.634828685138702;0.07085329547411084;35.84907599924997
363;UT6;29.64925920470184;0.11764707;38000;8.023937168372008;0.17615708690530638;35.90384293498399
364;UT6;28.209386532493024;0.16470589;58000;7.5532481686488255;0.24317194054590174;36.296145198216294
365;UT6;57.96567473671386;0.12941177;34000;7.39774267584308;0.21542019513564437;36.55186811231404
366;UT6;42.77082440371715;0.1137255;53000;7.7967900219586745;0.2088290290769361;35.96363180353175
367;UT6;20.4471578007801;0.11764707;65000;6.875532559175547;0.21728530393060239;36.72410865153844
368;UT6;47.44923570684362;0.10588236;33000;7.337595715465013;0.051467911369642655;35.109983444883596
369;UT6;36.195792692797916;0.12941177;57000;5.974087456558782;0.5832936131324636;36.07739077316984
370;UT6;48.63539202807042;0.13725491;41000;7.665030937169496;0.1542017283691254;34.49297935812446
371;UT6;47.816820464451574;0.1137255;67000;6.694681331238406;0.18750553754414578;36.45416642854421
372;UT6;24.176996559382673;0.12941177;58000;7.695845144511319;0.20977944420537742;34.98247329020634
373;UT6;15.096097280174666;0.12941177;55000;7.46593955777637;0.24787166365021204;38.01957760483406
374;UT6;18.653561455681835;0.12941177;46000;7.883849504234907;0.34231296848318893;34.44209361377441
375;UT6;18.601275640396274;0.1137255;88000;7.765822608296924;0.138199717353041;46.96308390640461
